avg_kl,token_id,gloss_with_replacement,part_of_speech
0.47706483018556434,5097177,bath,n
0.0,5187291,there,adv
0.0,5129961,pajamas,n
0.7066982139383009,5129971,on,adv
0.281121031052498,5121781,think,v
0.49510512897139014,5138174,street,n
0.0,5154565,umbrella,n
0.0,5154576,stand,n
0.0,5146385,have,v
0.0,5179153,build,v
0.9241962407465938,5121814,old,adj
0.0,5170973,bet,v
0.0,5121826,house,n
0.0,5179170,nests,n
0.0,5105453,think,v
0.0,5146417,glasses,n
0.0,5162806,think,v
0.693147180559945,5146426,on,adv
0.0,5179198,live,adj
0.0,5130050,need,v
0.0,5187398,flag,n
0.07991579258220535,5171016,make,v
0.8135492911428084,5097289,know,v
0.0,5162827,time,n
0.0,5138255,street,n
0.0,5179215,in,adv
0.0,5187410,goes,v
0.0,5105494,little,adj
0.30429323450498913,5146461,see,v
0.7844872719057673,5162850,put,v
0.0,5105507,baby,n
0.2574546670651226,5171042,feel,v
0.0,5187427,there,adv
0.0,5121896,go,v
0.0,5171058,better,adj
0.31506690025452116,5097334,time,n
0.5545177444479568,5138299,busy,adj
0.0,5179259,did,v
0.5545177444479563,5138314,town,n
0.0,5162893,pajamas,n
0.25745466706512266,5146513,well,adv
0.0,5097380,little,adj
0.0,5154726,umbrellas,n
0.0,5146545,think,v
0.2811210310524982,5171125,think,v
0.0,5179318,know,v
0.0,5130170,need,v
0.0,5187514,begins,v
0.0,5179331,eagles,n
0.0,5105610,little,adj
0.49510512897138953,5121996,wants,v
0.0,5105619,baby,n
0.0,5130195,nurse,v
0.0,5162964,read,v
0.0,5195731,jail,n
6.661338147750939e-16,5097433,miss,v
0.0,5113818,duck,n
0.0,5171168,unhappy,adj
0.5545177444479568,5138402,busy,adj
0.0,5122021,rake,n
0.0,5187560,letter,n
0.0,5162988,pages,n
0.5545177444479563,5138416,town,n
0.0,5154809,outside,adv
0.0,5179386,dinosaurs,n
0.0,5130241,need,v
0.40433585532663463,5146630,beds,n
0.0,5154844,needs,v
0.0,5187612,fish,n
0.0,5105702,little,adj
0.49510512897138953,5122092,wants,v
0.0,5163052,page,n
0.0,5130286,nurse,v
0.0,5154865,umbrellas,n
0.0,5105715,baby,n
0.0,5146680,ooh,v
0.0,5138505,cat,n
0.0,5163083,pajamas,n
0.0,5113932,hot,adj
0.0,5171277,unhappy,adj
0.0,5130318,need,v
0.0,5138518,live,adj
0.0,5138531,in,adv
0.5847300407123244,5130345,nurse,v
0.5545177444479568,5138542,busy,adj
0.0,5154930,think,v
0.0,5187704,get,v
0.5847300407123263,5138554,town,n
0.0,5130368,need,v
0.49510512897138953,5122189,wants,v
0.0,5163153,page,n
0.0,5179539,hear,v
0.0,5195923,girl,n
0.0,5187733,picture,n
0.0,5122217,rake,n
0.0,5179572,rain,n
0.5693815825093052,5097659,say,v
0.48928036274819664,5114043,stick,v
0.0,5179581,now,adv
0.0,5187777,there,adv
0.0,5163206,read,v
0.0,5114067,finger,n
0.39922704544995474,5114072,under,adv
0.0,5187803,picture,n
0.0,5130461,about,adv
0.0,5114082,there,adv
0.0,5196018,girl,n
0.2553938551983186,5155059,take,v
0.0,5130483,pajamas,n
0.5941261547656673,5146873,think,v
0.5266964611355692,5105917,wants,v
0.281121031052498,5122303,think,v
0.0,5187841,fish,n
0.0,5171467,eat,v
0.0,5187854,somewhere,n
0.40433585532663463,5155104,green,n
0.0,5138722,think,v
0.34027225227488256,5122343,home,n
0.0,5155114,umbrella,n
0.0,5130539,need,v
0.0,5179690,hear,v
0.6493838509172212,5171499,coconuts,n
0.0,5146926,up,adv
0.0,5196083,begins,v
0.34027225227488245,5138741,fire,n
0.0,5097791,wants,v
0.0,5179712,way,n
0.5424630108730012,5138756,come,v
0.0,5130571,nurse,v
0.0,5097804,soap,n
1.0397207708399174,5138769,back,adv
0.5847300407123244,5196117,letter,n
0.0,5146967,morning,n
0.0,5163356,wide,adj
0.0,5187941,fish,n
0.0,5155175,use,v
0.0,5163368,wide,adj
1.372754457508434,5138793,night,n
0.5266964611355692,5106026,wants,v
0.31506690025452116,5146991,picture,n
0.0,5179759,sounds,v
0.4393627312357234,5122419,work,v
0.0,5155207,green,n
0.0,5179784,water,n
0.39922704544995474,5097867,mouth,n
0.0,5187987,there,adv
0.0,5130646,nurse,n
0.0,5171607,little,adj
0.0,5138852,fire,n
0.0,5171624,girl,n
0.0,5122473,yard,n
0.0,5106105,bottom,adj
0.36164200724866774,5138873,come,v
0.0,5163451,sizes,n
0.0,5155263,take,v
1.0397207708399174,5138882,back,adv
0.47706483018556434,5097923,wants,v
0.0,5188042,red,n
0.0,5097936,soap,n
0.5820933997458537,5171664,said,v
0.0,5179856,outside,adv
0.0,5188053,fish,n
1.4483705135695193,5138903,night,n
0.0,5163481,shapes,n
0.681011823615502,5147099,hair,n
0.5847300407123246,5196251,like,v
0.0,5155298,turn,n
0.0,5196272,draw,v
2.0794415416798357,5106161,there,adv
0.39922704544995474,5097976,mouth,n
0.2932545763907464,5106171,see,v
0.0,5155328,green,n
0.0,5196297,crayons,n
0.0,5179916,cats,n
0.2811210310524981,5122584,do,v
0.0,5130780,cat,n
0.0,5163551,wide,adj
0.22935017003821706,5171749,find,v
0.0,5122597,work,n
0.0,5163559,book,n
0.24946749917394567,5106218,well,adv
0.0,5179946,dogs,n
0.47706483018556434,5114413,water,n
0.0,5171767,out,adv
0.681011823615502,5147198,hair,n
0.0,5188158,here,adv
0.0,5155396,take,v
0.2301604471797082,5106247,get,v
0.0,5130825,hat,n
0.0,5122645,yard,n
0.0,5155415,turn,n
0.0,5188194,go,v
0.0,5139044,mean,adj
0.0,5163622,narrow,adj
0.6493838509172212,5147241,wonder,v
0.0,5106285,little,adj
0.526696461135569,5130862,just,adv
0.0,5114479,little,adj
0.0,5180016,hear,v
0.0,5163633,book,n
0.0,5122678,duck,n
0.3736756570366836,5155456,green,n
0.0,5106307,soap,n
0.0,5196425,listen,v
0.0,5180042,meows,v
0.7066982139383009,5098123,mess,v
0.5545177444479568,5098133,up,adv
0.0,5130905,cat,n
0.0,5163673,narrow,adj
0.0,5196451,music,n
0.0,5188260,put,v
0.0,5122728,duck,n
0.0,5163690,book,n
0.0,5106356,bottom,n
0.0,5130935,hat,n
0.0,5163705,right,adj
0.0,5122763,duck,n
0.2811210310524982,5155537,think,v
0.0,5098195,eyes,n
0.281121031052498,5114580,think,v
0.0,5122777,duck,n
0.0,5188313,goes,v
0.0,5180124,meow,v
0.0,5139169,think,v
0.0,5171940,do,v
0.0,5155560,mean,adj
0.293254576390746,5130987,read,v
0.0,5163756,do,v
0.0,5180142,meow,v
0.0,5122803,duck,n
0.2574546670651227,5147379,think,v
0.0,5163776,see,v
0.0,5122817,duck,n
0.0,5114627,mean,adj
0.31914384125900097,5131014,book,n
0.0,5196562,go,v
0.106486337838512,5098259,get,v
0.0,5122844,duck,n
0.0,5196574,down,adv
0.0,5163809,picture,n
0.0,5106473,time,n
0.09232192891179017,5155629,take,v
0.0,5180205,meow,v
0.0,5114669,warm,adj
0.0,5139248,room,n
0.0,5098294,eyes,n
0.0,5196601,see,v
0.0,5122876,duck,n
0.0,5180220,meow,v
0.293254576390746,5131079,read,v
0.0,5172041,do,v
0.0,5188432,put,v
0.0,5122900,duck,n
0.0,5106529,rinsie,n
0.31914384125900097,5131107,book,n
0.0,5122916,duck,n
0.0,5196649,basement,n
0.0,5188461,somewhere,n
0.0,5106545,rinsie,n
0.0,5155698,have,v
0.0,5196661,office,n
0.0,5122944,duck,n
0.0,5098375,soap,n
0.7202381175497576,5172112,begins,v
0.0,5147541,come,v
0.0,5139361,room,n
0.0,5114786,warm,adj
0.2574546670651227,5139385,think,v
0.10648633783851201,5098432,get,v
0.0,5188544,go,v
0.40433585532663463,5155780,sound,v
0.6493838509172212,5172165,coconut,n
0.0,5131207,bed,n
0.0,5163979,desk,n
0.0,5114831,hot,adj
0.0,5139409,right,n
0.0,5188563,there,adv
0.0,5180379,bear,n
0.0,5098460,little,adj
0.0,5164013,think,v
0.0,5098481,piece,n
0.4146303904890235,5155838,have,v
0.0,5139459,think,v
0.0,5131268,go,v
0.5243054481835889,5131277,over,adv
0.0,5180435,very,adv
2.0794415416798357,5131286,there,adv
0.0,5155867,cold,n
0.0,5188643,fish,n
0.0,5180463,bear,n
0.0,5131314,read,v
0.0,5172279,stand,n
0.0,5147706,think,v
0.0,5139523,kitchen,n
0.0,5196873,went,v
0.0,5164114,think,v
0.0,5114963,put,v
0.0,5098580,scrub,v
0.0,5196892,over,adv
0.49510512897138953,5147744,wants,v
0.0,5196900,down,adv
0.0,5188713,know,v
0.6795961471815891,5106802,doll,n
0.0,5114996,hands,n
0.0,5147772,use,v
0.0,5172354,stands,n
0.39922704544995474,5115013,under,adv
0.0,5164178,bug,n
0.0,5115028,there,adv
0.0,5196966,think,v
0.0,5164200,bug,n
0.0,5098670,scrub,v
0.0,5180592,just,adv
0.0,5123260,has,v
0.0,5147840,think,v
0.0,5196995,does,v
0.0,5139652,think,v
0.12968560152411956,5188804,go,v
0.0,5164231,little,adj
0.0,5180619,saw,v
0.7650661395975138,5098708,hair,n
0.0,5115097,warm,adj
0.0,5147869,little,adj
0.0,5156063,nose,n
0.0,5123299,towel,n
0.5941261547656673,5172451,think,v
0.0,5156072,stuffed,v
0.5766518560960894,5139689,do,v
0.7066982139383009,5180649,lightning,n
0.0,5188845,outline,n
0.0,5156080,up,adv
0.0,5172489,stands,n
0.0,5139723,kitchen,n
0.0,5115149,hot,adj
0.0,5090582,alone,adv
0.0,5197079,want,v
0.0,5172507,girl,n
0.0,4287775,pretend,v
0.693147180559945,5180711,there,adv
0.0,5197101,come,v
0.0,4287803,school,n
